food,category,country,region,year,imports,exports,production,consumption,yield
Barley,GRAIN,Albania,EUROPE,2000,0,0,2000,2000,2
Barley,GRAIN,Albania,EUROPE,2001,0,0,3000,3000,3
Barley,GRAIN,Albania,EUROPE,2002,0,0,4000,4000,4
Barley,GRAIN,Albania,EUROPE,2003,0,0,3000,3000,2
Barley,GRAIN,Albania,EUROPE,2004,0,0,4000,4000,2
Barley,GRAIN,Albania,EUROPE,2005,0,0,4000,4000,2
Barley,GRAIN,Albania,EUROPE,2006,0,0,6000,6000,3
Barley,GRAIN,Albania,EUROPE,2007,0,0,4000,4000,4
Barley,GRAIN,Albania,EUROPE,2008,0,0,4000,4000,4
Barley,GRAIN,Albania,EUROPE,2009,2000,0,5000,7000,3
Barley,GRAIN,Albania,EUROPE,2010,2000,0,7000,9000,2
Barley,GRAIN,Albania,EUROPE,2011,2000,0,9000,11000,3
Barley,GRAIN,Albania,EUROPE,2012,1000,0,7000,8000,2
Barley,GRAIN,Albania,EUROPE,2013,1000,0,7000,8000,2
Barley,GRAIN,Albania,EUROPE,2014,2000,0,7000,9000,2
Barley,GRAIN,Albania,EUROPE,2015,0,0,7000,7000,2
Barley,GRAIN,Algeria,MIDDLE_EAST,1981,818000,32000,182000,968000,2
Corn,GRAIN,Algeria,MIDDLE_EAST,1981,1000,0,379000,380000,2
Oats,GRAIN,Algeria,MIDDLE_EAST,1981,71000,0,0,71000,2
Rice,GRAIN,Algeria,MIDDLE_EAST,1981,1000,0,29000,30000,2
Wheat,GRAIN,Algeria,MIDDLE_EAST,1981,1295000,419000,2443000,3319000,2
Olive Oil,OIL,Algeria,MIDDLE_EAST,1981,15000,0,0,15000,2
Palm Oil,OIL,Algeria,MIDDLE_EAST,1981,0,0,6000,6000,2
Rapeseed Meal,OIL,Algeria,MIDDLE_EAST,1981,16000,1000,21600,36600,2
Rapeseed Oil,OIL,Algeria,MIDDLE_EAST,1981,9000,0,88941,97941,2
Soybean Meal,OIL,Algeria,MIDDLE_EAST,1981,0,0,84000,84000,2
Soybean Oil,OIL,Algeria,MIDDLE_EAST,1981,0,0,4000,4000,2
Sunflowerseed Oil,OIL,Algeria,MIDDLE_EAST,1981,0,0,104000,104000,2
Sugar (Beet & Cane),SPECIAL,Algeria,MIDDLE_EAST,1981,11000,0,600000,611000,2
Barley,GRAIN,Algeria,MIDDLE_EAST,2000,308000,0,163000,550000,1
Barley,GRAIN,Algeria,MIDDLE_EAST,2001,379000,0,574000,650000,1
Barley,GRAIN,Algeria,MIDDLE_EAST,2002,279000,0,416000,750000,1
Barley,GRAIN,Algeria,MIDDLE_EAST,2003,0,0,1220000,900000,2
Barley,GRAIN,Algeria,MIDDLE_EAST,2004,51000,0,1314000,1100000,1
Barley,GRAIN,Algeria,MIDDLE_EAST,2005,128000,0,400000,850000,1
Barley,GRAIN,Algeria,MIDDLE_EAST,2006,158000,0,700000,950000,1
Barley,GRAIN,Algeria,MIDDLE_EAST,2007,21000,0,950000,1100000,1
Barley,GRAIN,Algeria,MIDDLE_EAST,2008,391000,0,560000,1100000,1
Barley,GRAIN,Algeria,MIDDLE_EAST,2009,24000,11000,2400000,1350000,2
Barley,GRAIN,Algeria,MIDDLE_EAST,2010,89000,0,1500000,1600000,2
Barley,GRAIN,Algeria,MIDDLE_EAST,2011,672000,0,1350000,1800000,1
Barley,GRAIN,Algeria,MIDDLE_EAST,2012,259000,0,1500000,2000000,2
Barley,GRAIN,Algeria,MIDDLE_EAST,2013,511000,0,1500000,2050000,2
Barley,GRAIN,Algeria,MIDDLE_EAST,2014,876000,0,1300000,2050000,2
Barley,GRAIN,Algeria,MIDDLE_EAST,2015,650000,0,1300000,2050000,1
Corn,GRAIN,Angola,MIDDLE_EAST,1981,258000,0,150000,408000,2
Millet,GRAIN,Angola,MIDDLE_EAST,1981,40000,0,0,40000,2
Rice,GRAIN,Angola,MIDDLE_EAST,1981,13000,0,32000,45000,2
Wheat,GRAIN,Angola,MIDDLE_EAST,1981,10000,0,109000,119000,2
Palm Oil,OIL,Angola,MIDDLE_EAST,1981,40000,0,2000,42000,2
Soybean Oil,OIL,Angola,MIDDLE_EAST,1981,0,0,15000,15000,2
Coffee,SPECIAL,Angola,MIDDLE_EAST,1981,47040,180000,108000,-24960,2
Sugar (Beet & Cane),SPECIAL,Angola,MIDDLE_EAST,1981,45000,0,52000,97000,2
Butter,DAIRY,Argentina,SOUTH_AMERICA,1981,37,14,9,32,2
Cheese,DAIRY,Argentina,SOUTH_AMERICA,1981,229,30,24,223,2
Milk,DAIRY,Argentina,SOUTH_AMERICA,1981,14060,68,28,14020,2
Apples,FRUIT,Argentina,SOUTH_AMERICA,1981,1816000,243000,0,1573000,2
Raisins,FRUIT,Argentina,SOUTH_AMERICA,1981,5500,4359,3859,5000,2
Barley,GRAIN,Argentina,SOUTH_AMERICA,1981,132000,8000,6000,130000,2
Corn,GRAIN,Argentina,SOUTH_AMERICA,1981,9600000,6310000,210000,3500000,2
Millet,GRAIN,Argentina,SOUTH_AMERICA,1981,154000,98000,2000,58000,2
Oats,GRAIN,Argentina,SOUTH_AMERICA,1981,339000,64000,5000,280000,2
Rice,GRAIN,Argentina,SOUTH_AMERICA,1981,230000,118000,3000,115000,2
Rye,GRAIN,Argentina,SOUTH_AMERICA,1981,149000,28000,4000,125000,2
Sorghum,GRAIN,Argentina,SOUTH_AMERICA,1981,8000000,6042000,132000,2090000,2
Wheat,GRAIN,Argentina,SOUTH_AMERICA,1981,8300000,4413000,413000,4300000,2
Beef,MEAT,Argentina,SOUTH_AMERICA,1981,12059000,486000,0,11573000,2
Pork,MEAT,Argentina,SOUTH_AMERICA,1981,250000,0,3000,253000,2
Cottonseed Meal,OIL,Argentina,SOUTH_AMERICA,1981,410000,123000,20000,307000,2
Cottonseed Oil,OIL,Argentina,SOUTH_AMERICA,1981,41000,17000,2000,26000,2
Peanut Meal,OIL,Argentina,SOUTH_AMERICA,1981,305400,190400,94600,209600,2
Peanut Oil,OIL,Argentina,SOUTH_AMERICA,1981,113619,78744,22496,57371,2
Rapeseed Meal,OIL,Argentina,SOUTH_AMERICA,1981,7000,0,0,7000,2
Rapeseed Oil,OIL,Argentina,SOUTH_AMERICA,1981,2915,0,0,2915,2
Soybean (Local) Meal,OIL,Argentina,SOUTH_AMERICA,1981,3320000,1841600,207200,1685600,2
Soybean (Local) Oil,OIL,Argentina,SOUTH_AMERICA,1981,759450,421266,47397,385581,2
Soybean Meal,OIL,Argentina,SOUTH_AMERICA,1981,5854000,5252400,1057200,1658800,2
Soybean Oil,OIL,Argentina,SOUTH_AMERICA,1981,1290450,1030364,177917,438003,2
Sunflowerseed Meal,OIL,Argentina,SOUTH_AMERICA,1981,2381000,933000,179000,1627000,2
Sunflowerseed Oil,OIL,Argentina,SOUTH_AMERICA,1981,1045340,527155,82110,600295,2
Chicken,POULTRY,Argentina,SOUTH_AMERICA,1981,256000,0,10000,266000,2
Turkey,POULTRY,Argentina,SOUTH_AMERICA,1981,4000,0,0,4000,2
Sugar (Beet & Cane),SPECIAL,Argentina,SOUTH_AMERICA,1981,1618000,588000,0,1030000,2
Barley,GRAIN,Argentina,SOUTH_AMERICA,2000,0,211000,722000,475000,3
Barley,GRAIN,Argentina,SOUTH_AMERICA,2001,0,89000,530000,475000,2
Barley,GRAIN,Argentina,SOUTH_AMERICA,2002,0,102000,550000,475000,2
Barley,GRAIN,Argentina,SOUTH_AMERICA,2003,0,191000,1005000,625000,3
Barley,GRAIN,Argentina,SOUTH_AMERICA,2004,0,316000,895000,625000,3
Barley,GRAIN,Argentina,SOUTH_AMERICA,2005,0,353000,799000,550000,3
Barley,GRAIN,Argentina,SOUTH_AMERICA,2006,0,531000,1330000,825000,4
Barley,GRAIN,Argentina,SOUTH_AMERICA,2007,0,911000,1600000,825000,4
Barley,GRAIN,Argentina,SOUTH_AMERICA,2008,0,1018000,2110000,895000,3
Barley,GRAIN,Argentina,SOUTH_AMERICA,2009,0,482000,1356000,990000,3
Barley,GRAIN,Argentina,SOUTH_AMERICA,2010,0,1614000,2950000,1135000,4
Barley,GRAIN,Argentina,SOUTH_AMERICA,2011,0,3616000,4500000,1200000,4
Barley,GRAIN,Argentina,SOUTH_AMERICA,2012,0,3581000,5000000,1300000,3
Barley,GRAIN,Argentina,SOUTH_AMERICA,2013,0,2891000,4750000,1700000,4
Barley,GRAIN,Argentina,SOUTH_AMERICA,2014,0,1500000,2900000,1500000,3
Barley,GRAIN,Argentina,SOUTH_AMERICA,2015,0,2000000,3400000,1500000,4
Barley,GRAIN,Armenia,RUSSIA,2000,8000,0,60000,65000,1
Barley,GRAIN,Armenia,RUSSIA,2001,0,0,108000,105000,1
Barley,GRAIN,Armenia,RUSSIA,2002,0,0,110000,110000,2
Barley,GRAIN,Armenia,RUSSIA,2003,0,0,68000,70000,1
Barley,GRAIN,Armenia,RUSSIA,2004,3000,0,131000,128000,2
Barley,GRAIN,Armenia,RUSSIA,2005,2000,0,132000,135000,2
Barley,GRAIN,Armenia,RUSSIA,2006,8000,0,60000,70000,1
Barley,GRAIN,Armenia,RUSSIA,2007,2000,0,192000,185000,3
Barley,GRAIN,Armenia,RUSSIA,2008,0,0,149000,155000,2
Barley,GRAIN,Armenia,RUSSIA,2009,18000,0,145000,155000,2
Barley,GRAIN,Armenia,RUSSIA,2010,12000,0,118000,130000,2
Barley,GRAIN,Armenia,RUSSIA,2011,12000,0,178000,180000,3
Barley,GRAIN,Armenia,RUSSIA,2012,4000,0,170000,180000,3
Barley,GRAIN,Armenia,RUSSIA,2013,8000,0,180000,180000,3
Barley,GRAIN,Armenia,RUSSIA,2014,5000,0,160000,180000,2
Barley,GRAIN,Armenia,RUSSIA,2015,10000,0,160000,180000,2
Grapefruit,CITRUS,Australia,OCEANIA,1981,30000,1000,0,29000,2
Lemons & Limes,CITRUS,Australia,OCEANIA,1981,48000,1000,0,47000,2
Oranges,CITRUS,Australia,OCEANIA,1981,426000,26000,0,400000,2
Tangerines & Mandarins,CITRUS,Australia,OCEANIA,1981,31000,7000,0,24000,2
Butter,DAIRY,Australia,OCEANIA,1981,76,22,11,65,2
Cheese,DAIRY,Australia,OCEANIA,1981,153,114,67,106,2
Milk,DAIRY,Australia,OCEANIA,1981,13652,660,184,13176,2
Apples,FRUIT,Australia,OCEANIA,1981,613842,51408,0,562434,2
Raisins,FRUIT,Australia,OCEANIA,1981,55995,43457,14771,27309,2
Barley,GRAIN,Australia,OCEANIA,1981,3450000,1884000,125000,1691000,2
Corn,GRAIN,Australia,OCEANIA,1981,212000,40000,93000,265000,2
Millet,GRAIN,Australia,OCEANIA,1981,39000,31000,8000,16000,2
Oats,GRAIN,Australia,OCEANIA,1981,1617000,439000,278000,1456000,2
Rice,GRAIN,Australia,OCEANIA,1981,611000,772000,227000,66000,2
Rye,GRAIN,Australia,OCEANIA,1981,16000,2000,4000,18000,2
Sorghum,GRAIN,Australia,OCEANIA,1981,1317000,1016000,65000,366000,2
Wheat,GRAIN,Australia,OCEANIA,1981,16360000,15784000,2044000,2620000,2
Beef,MEAT,Australia,OCEANIA,1981,6525800,780600,600,5745800,2
Pork,MEAT,Australia,OCEANIA,1981,2747400,5200,0,2742200,2
Coconut Oil,OIL,Australia,OCEANIA,1981,0,0,20000,20000,2
Cottonseed Meal,OIL,Australia,OCEANIA,1981,318000,24000,21000,315000,2
Cottonseed Oil,OIL,Australia,OCEANIA,1981,39000,6000,0,33000,2
Olive Oil,OIL,Australia,OCEANIA,1981,0,0,5000,5000,2
Palm Oil,OIL,Australia,OCEANIA,1981,0,0,50000,50000,2
Peanut Meal,OIL,Australia,OCEANIA,1981,46400,12000,10400,44800,2
Peanut Oil,OIL,Australia,OCEANIA,1981,10614,2745,2379,10248,2
Rapeseed Meal,OIL,Australia,OCEANIA,1981,22000,1600,4000,24400,2
Rapeseed Oil,OIL,Australia,OCEANIA,1981,9745,366,16915,26294,2
Soybean Meal,OIL,Australia,OCEANIA,1981,147600,16600,84400,215400,2
Soybean Oil,OIL,Australia,OCEANIA,1981,34091,366,31954,65679,2
Sunflowerseed Meal,OIL,Australia,OCEANIA,1981,137000,25600,19200,130600,2
Sunflowerseed Oil,OIL,Australia,OCEANIA,1981,56045,5856,6392,56581,2
Chicken,POULTRY,Australia,OCEANIA,1981,276000,7000,0,269000,2
Turkey,POULTRY,Australia,OCEANIA,1981,9000,0,0,9000,2
Sugar (Beet & Cane),SPECIAL,Australia,OCEANIA,1981,3434000,2468000,0,966000,2
Barley,GRAIN,Australia,OCEANIA,2000,0,3967000,6743000,2200000,2
Barley,GRAIN,Australia,OCEANIA,2001,0,4676000,8280000,2800000,2
Barley,GRAIN,Australia,OCEANIA,2002,0,1984000,3865000,2700000,1
Barley,GRAIN,Australia,OCEANIA,2003,0,6398000,10387000,3050000,2
Barley,GRAIN,Australia,OCEANIA,2004,0,4261000,7740000,3500000,2
Barley,GRAIN,Australia,OCEANIA,2005,0,5267000,9483000,3500000,2
Barley,GRAIN,Australia,OCEANIA,2006,0,1851000,4257000,4000000,1
Barley,GRAIN,Australia,OCEANIA,2007,0,3386000,7159000,3100000,1
Barley,GRAIN,Australia,OCEANIA,2008,0,3234000,7996000,4000000,2
Barley,GRAIN,Australia,OCEANIA,2009,0,3915000,7865000,4500000,2
Barley,GRAIN,Australia,OCEANIA,2010,0,4664000,7995000,4200000,2
Barley,GRAIN,Australia,OCEANIA,2011,0,5376000,8221000,3300000,2
Barley,GRAIN,Australia,OCEANIA,2012,0,4482000,7472000,3000000,2
Barley,GRAIN,Australia,OCEANIA,2013,0,6216000,9174000,2800000,2
Barley,GRAIN,Australia,OCEANIA,2014,0,5219000,8014000,2600000,2
Barley,GRAIN,Australia,OCEANIA,2015,0,6000000,8700000,2600000,2
Butter,DAIRY,Austria,EUROPE,1981,43,4,3,42,2
Cheese,DAIRY,Austria,EUROPE,1981,81,50,14,45,2
Milk,DAIRY,Austria,EUROPE,1981,8273,140,72,8205,2
Fish Meal,FISH,Austria,EUROPE,1981,0,2000,32000,30000,2
Beef,MEAT,Austria,EUROPE,1981,754000,82600,15400,686800,2
Pork,MEAT,Austria,EUROPE,1981,3333200,1000,116600,3448800,2
Coconut Oil,OIL,Austria,EUROPE,1981,0,0,6000,6000,2
Copra Meal,OIL,Austria,EUROPE,1981,0,0,1000,1000,2
Palm Oil,OIL,Austria,EUROPE,1981,0,0,11000,11000,2
Peanut Meal,OIL,Austria,EUROPE,1981,0,0,3200,3200,2
Peanut Oil,OIL,Austria,EUROPE,1981,0,0,732,732,2
Rapeseed Meal,OIL,Austria,EUROPE,1981,8000,6400,4000,5600,2
Rapeseed Oil,OIL,Austria,EUROPE,1981,2830,5464,14000,11366,2
Soybean Meal,OIL,Austria,EUROPE,1981,0,35000,460800,425800,2
Soybean Oil,OIL,Austria,EUROPE,1981,0,5000,43183,38183,2
Sunflowerseed Meal,OIL,Austria,EUROPE,1981,800,7200,11400,5000,2
Sunflowerseed Oil,OIL,Austria,EUROPE,1981,183,6647,31464,25000,2
Chicken,POULTRY,Austria,EUROPE,1981,55000,0,5000,60000,2
Turkey,POULTRY,Austria,EUROPE,1981,3000,0,2000,5000,2
Sugar (Beet & Cane),SPECIAL,Austria,EUROPE,1981,486000,130000,0,356000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2000,4000,0,150000,150000,1
Barley,GRAIN,Azerbaijan,RUSSIA,2001,0,0,300000,250000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2002,15000,0,290000,300000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2003,50000,0,290000,330000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2004,8000,0,350000,355000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2005,8000,0,375000,380000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2006,0,0,365000,355000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2007,11000,0,400000,430000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2008,11000,0,500000,515000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2009,16000,0,540000,565000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2010,83000,0,530000,640000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2011,56000,0,633000,650000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2012,7000,0,740000,750000,3
Barley,GRAIN,Azerbaijan,RUSSIA,2013,37000,0,822000,800000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2014,150000,0,600000,800000,2
Barley,GRAIN,Azerbaijan,RUSSIA,2015,100000,0,700000,850000,2
Chicken,POULTRY,Bahamas,MIDDLE_AMERICA,1981,8000,0,1000,9000,2
Sugar (Beet & Cane),SPECIAL,Bahamas,MIDDLE_AMERICA,1981,0,0,8000,8000,2
Wheat,GRAIN,Bahrain,MIDDLE_EAST,1981,0,0,30000,30000,2
Sugar (Beet & Cane),SPECIAL,Bahrain,MIDDLE_EAST,1981,0,0,10000,10000,2
Barley,GRAIN,Bangladesh,SOUTH_ASIA,1981,10000,0,1000,11000,2
Millet,GRAIN,Bangladesh,SOUTH_ASIA,1981,17000,0,0,17000,2
Mixed Grain,GRAIN,Bangladesh,SOUTH_ASIA,1981,24000,0,2000,26000,2
Rice,GRAIN,Bangladesh,SOUTH_ASIA,1981,13631000,358000,840000,14113000,2
Wheat,GRAIN,Bangladesh,SOUTH_ASIA,1981,967000,277000,1667000,2357000,2
Coconut Oil,OIL,Bangladesh,SOUTH_ASIA,1981,0,0,15000,15000,2
Palm Oil,OIL,Bangladesh,SOUTH_ASIA,1981,0,29000,105000,76000,2
Peanut Meal,OIL,Bangladesh,SOUTH_ASIA,1981,18400,0,0,18400,2
Peanut Oil,OIL,Bangladesh,SOUTH_ASIA,1981,4209,0,0,4209,2
Rapeseed Meal,OIL,Bangladesh,SOUTH_ASIA,1981,179400,18800,26000,186600,2
Rapeseed Oil,OIL,Bangladesh,SOUTH_ASIA,1981,69509,11098,25575,83986,2
Soybean Oil,OIL,Bangladesh,SOUTH_ASIA,1981,0,11000,52000,41000,2
Sugar (Beet & Cane),SPECIAL,Bangladesh,SOUTH_ASIA,1981,215000,0,35000,250000,2
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2000,0,0,7000,7000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2001,0,0,6000,6000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2002,0,0,4000,4000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2003,0,0,2000,2000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2004,0,0,2000,2000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2005,0,0,1000,1000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2006,0,0,4000,4000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2007,0,0,6000,6000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2008,0,0,7000,7000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2009,0,0,7000,7000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2010,0,0,7000,7000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2011,0,0,7000,7000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2012,0,0,7000,7000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2013,0,0,7000,7000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2014,0,0,7000,7000,1
Barley,GRAIN,Bangladesh,SOUTH_ASIA,2015,0,0,7000,7000,1
Chicken,POULTRY,Barbados,MIDDLE_AMERICA,1981,6000,0,3000,9000,2
Sugar (Beet & Cane),SPECIAL,Barbados,MIDDLE_AMERICA,1981,88000,88000,0,0,2
Barley,GRAIN,Belarus,EUROPE,2000,40000,0,1378000,1450000,2
Barley,GRAIN,Belarus,EUROPE,2001,22000,0,1700000,1550000,2
Barley,GRAIN,Belarus,EUROPE,2002,11000,0,1681000,1700000,2
Barley,GRAIN,Belarus,EUROPE,2003,105000,0,1800000,1750000,2
Barley,GRAIN,Belarus,EUROPE,2004,50000,0,2000000,1900000,3
Barley,GRAIN,Belarus,EUROPE,2005,25000,0,1864000,2000000,3
Barley,GRAIN,Belarus,EUROPE,2006,75000,0,1831000,2000000,3
Barley,GRAIN,Belarus,EUROPE,2007,75000,0,1911000,2000000,3
Barley,GRAIN,Belarus,EUROPE,2008,75000,0,2212000,2200000,4
Barley,GRAIN,Belarus,EUROPE,2009,50000,0,2123000,2200000,3
Barley,GRAIN,Belarus,EUROPE,2010,25000,0,1966000,2000000,3
Barley,GRAIN,Belarus,EUROPE,2011,75000,0,1979000,2100000,3
Barley,GRAIN,Belarus,EUROPE,2012,50000,0,1917000,2000000,3
Barley,GRAIN,Belarus,EUROPE,2013,25000,0,1674000,1800000,3
Barley,GRAIN,Belarus,EUROPE,2014,25000,0,2250000,2100000,4
Barley,GRAIN,Belarus,EUROPE,2015,25000,0,2000000,2200000,3
Butter,DAIRY,Belgium,EUROPE,1981,101,191,182,92,2
Cheese,DAIRY,Belgium,EUROPE,1981,52,31,93,114,2
Milk,DAIRY,Belgium,EUROPE,1981,10404,1379,541,9566,2
Fish Meal,FISH,Belgium,EUROPE,1981,24000,23000,48000,49000,2
Beef,MEAT,Belgium,EUROPE,1981,1081600,157800,102600,1026400,2
Pork,MEAT,Belgium,EUROPE,1981,6254600,777800,638800,6115600,2
Coconut Oil,OIL,Belgium,EUROPE,1981,0,3000,30000,27000,2
Copra Meal,OIL,Belgium,EUROPE,1981,0,8000,40000,32000,2
Cottonseed Meal,OIL,Belgium,EUROPE,1981,0,1000,43000,42000,2
Cottonseed Oil,OIL,Belgium,EUROPE,1981,0,1000,1000,0,2
Olive Oil,OIL,Belgium,EUROPE,1981,0,0,1000,1000,2
Palm Kernel,OIL,Belgium,EUROPE,1981,0,1000,4000,3000,2
Palm Oil,OIL,Belgium,EUROPE,1981,0,11000,47000,36000,2
Peanut Meal,OIL,Belgium,EUROPE,1981,9000,5000,57600,61600,2
Peanut Oil,OIL,Belgium,EUROPE,1981,8000,35000,50856,23856,2
Rapeseed Meal,OIL,Belgium,EUROPE,1981,27800,30200,76400,74000,2
Rapeseed Oil,OIL,Belgium,EUROPE,1981,17183,26647,44699,35235,2
Soybean Meal,OIL,Belgium,EUROPE,1981,1193000,958400,1951400,2186000,2
Soybean Oil,OIL,Belgium,EUROPE,1981,257000,197444,329774,389330,2
Sunflowerseed Meal,OIL,Belgium,EUROPE,1981,32000,28200,137400,141200,2
Sunflowerseed Oil,OIL,Belgium,EUROPE,1981,28000,29647,62189,60542,2
Chicken,POULTRY,Belgium,EUROPE,1981,109000,8000,15000,116000,2
Turkey,POULTRY,Belgium,EUROPE,1981,5000,1000,5000,9000,2
Sugar (Beet & Cane),SPECIAL,Belize,MIDDLE_AMERICA,1981,108000,99000,0,9000,2
Corn,GRAIN,Benin,SUB_SAHARAN,1981,288000,0,0,288000,2
Millet,GRAIN,Benin,SUB_SAHARAN,1981,4000,0,0,4000,2
Rice,GRAIN,Benin,SUB_SAHARAN,1981,6000,0,15000,21000,2
Sorghum,GRAIN,Benin,SUB_SAHARAN,1981,57000,0,0,57000,2
Cottonseed Meal,OIL,Benin,SUB_SAHARAN,1981,21000,2000,0,19000,2
Cottonseed Oil,OIL,Benin,SUB_SAHARAN,1981,1000,0,0,1000,2
Palm Kernel,OIL,Benin,SUB_SAHARAN,1981,38000,13000,0,25000,2
Palm Kernel Meal,OIL,Benin,SUB_SAHARAN,1981,60000,0,0,60000,2
Palm Kernel Oil,OIL,Benin,SUB_SAHARAN,1981,13725,0,0,13725,2
Palm Oil,OIL,Benin,SUB_SAHARAN,1981,70000,11000,0,59000,2
Peanut Meal,OIL,Benin,SUB_SAHARAN,1981,41600,0,0,41600,2
Peanut Oil,OIL,Benin,SUB_SAHARAN,1981,9516,0,0,9516,2
Coffee,SPECIAL,Benin,SUB_SAHARAN,1981,4440,4320,0,120,2
Sugar (Beet & Cane),SPECIAL,Benin,SUB_SAHARAN,1981,0,0,15000,15000,2
Sugar (Beet & Cane),SPECIAL,Bermuda,MIDDLE_AMERICA,1981,0,0,2000,2000,2
Barley,GRAIN,Bhutan,SOUTH_ASIA,1981,10000,0,0,10000,2
Corn,GRAIN,Bhutan,SOUTH_ASIA,1981,60000,0,0,60000,2
Wheat,GRAIN,Bhutan,SOUTH_ASIA,1981,9000,0,0,9000,2
Barley,GRAIN,Bhutan,SOUTH_ASIA,2000,0,0,5000,5000,1
Barley,GRAIN,Bhutan,SOUTH_ASIA,2001,0,0,5000,5000,1
Barley,GRAIN,Bhutan,SOUTH_ASIA,2002,0,0,5000,5000,1
Barley,GRAIN,Bhutan,SOUTH_ASIA,2003,0,0,5000,5000,1
Barley,GRAIN,Bhutan,SOUTH_ASIA,2004,0,0,5000,5000,1
Barley,GRAIN,Bhutan,SOUTH_ASIA,2005,0,0,5000,5000,1
