food,category,country,region,year,imports,exports,production,yield
Grapefruit,CITRUS,EU-27,EUROPE,2003,353000,11000,91000,0
Grapefruit,CITRUS,EU-27,EUROPE,2004,343000,11000,84000,0
Grapefruit,CITRUS,EU-27,EUROPE,2005,363000,11000,94000,0
Grapefruit,CITRUS,EU-27,EUROPE,2006,399000,17000,82000,0
Grapefruit,CITRUS,EU-27,EUROPE,2007,430000,21000,91000,0
Grapefruit,CITRUS,EU-27,EUROPE,2008,399000,21000,85000,0
Grapefruit,CITRUS,EU-27,EUROPE,2009,389000,22000,95000,0
Grapefruit,CITRUS,Italy,EUROPE,2000,30000,5000,20000,1955
Grapefruit,CITRUS,Switzerland,EUROPE,2001,9000,0,0,0
Grapefruit,CITRUS,Switzerland,EUROPE,2002,9000,0,0,0
Grapefruit,CITRUS,Switzerland,EUROPE,2003,9000,0,0,0
Grapefruit,CITRUS,Switzerland,EUROPE,2004,9000,0,0,0
Grapefruit,CITRUS,Switzerland,EUROPE,2005,8000,0,0,0
Grapefruit,CITRUS,Switzerland,EUROPE,2006,8000,0,0,0
Grapefruit,CITRUS,Switzerland,EUROPE,2007,8000,0,0,0
Grapefruit,CITRUS,Switzerland,EUROPE,2008,8000,0,0,0
Grapefruit,CITRUS,Switzerland,EUROPE,2009,8000,0,0,0
Grapefruit,CITRUS,Ukraine,EUROPE,2001,4000,0,0,0
Grapefruit,CITRUS,Ukraine,EUROPE,2002,4000,0,0,0
Grapefruit,CITRUS,Ukraine,EUROPE,2003,5000,0,0,0
Grapefruit,CITRUS,Ukraine,EUROPE,2005,11000,0,0,0
Grapefruit,CITRUS,Ukraine,EUROPE,2006,15000,0,0,0
Grapefruit,CITRUS,Ukraine,EUROPE,2007,19000,0,0,0
Grapefruit,CITRUS,Ukraine,EUROPE,2008,16000,0,0,0
Grapefruit,CITRUS,Ukraine,EUROPE,2009,21000,0,0,0
Grapefruit,CITRUS,Cuba,MIDDLE_AMERICA,2000,0,20000,310000,2240
Grapefruit,CITRUS,Cuba,MIDDLE_AMERICA,2001,0,5000,150000,1507
Grapefruit,CITRUS,Cuba,MIDDLE_AMERICA,2002,0,6000,227000,604
Grapefruit,CITRUS,Cuba,MIDDLE_AMERICA,2003,0,11000,20000,1161
Grapefruit,CITRUS,Cuba,MIDDLE_AMERICA,2004,0,4000,7000,1315
Grapefruit,CITRUS,Cuba,MIDDLE_AMERICA,2005,0,4000,10000,644
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2000,9000,7000,320000,1997
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2001,8000,5000,297000,2418
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2002,12000,7000,281000,2071
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2003,9000,10000,409000,2386
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2004,9000,9000,304000,2437
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2005,7000,13000,387000,2259
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2006,9000,12000,313000,1929
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2007,10000,14000,425000,1929
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2008,11000,11000,432000,2410
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,2009,10000,18000,401000,2399
Grapefruit,CITRUS,Cyprus,MIDDLE_EAST,2000,0,27000,38000,3490
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2000,0,63000,286000,3490
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2001,0,68000,251000,3238
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2002,0,64000,255000,3030
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2003,0,70000,237000,2970
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2004,0,87000,271000,2988
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2005,0,75000,265000,2747
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2006,0,81000,242000,2940
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2007,0,81000,242000,2940
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2008,0,85000,233000,2588
Grapefruit,CITRUS,Israel,MIDDLE_EAST,2009,0,84000,235000,3250
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2000,0,88000,135000,4024
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2001,10000,100000,135000,4090
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2002,12000,96000,125000,3687
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2003,10000,115000,135000,3781
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2004,18000,88000,135000,3750
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2005,8000,150000,150000,4109
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2006,8000,133000,180000,4359
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2007,4000,133000,167000,4359
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2008,5000,128000,168000,4473
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,2009,5000,154000,191000,5052
Grapefruit,CITRUS,Russian Federation,RUSSIA,2001,29000,0,0,0
Grapefruit,CITRUS,Russian Federation,RUSSIA,2002,32000,0,0,0
Grapefruit,CITRUS,Russian Federation,RUSSIA,2003,43000,0,0,0
Grapefruit,CITRUS,Russian Federation,RUSSIA,2004,45000,0,0,0
Grapefruit,CITRUS,Russian Federation,RUSSIA,2005,55000,0,0,0
Grapefruit,CITRUS,Russian Federation,RUSSIA,2006,74000,0,0,0
Grapefruit,CITRUS,Russian Federation,RUSSIA,2007,95000,0,0,0
Grapefruit,CITRUS,Russian Federation,RUSSIA,2008,86000,0,0,0
Grapefruit,CITRUS,Russian Federation,RUSSIA,2009,112000,0,0,0
Grapefruit,CITRUS,Argentina,SOUTH_AMERICA,2000,6000,24000,177000,1862
Grapefruit,CITRUS,Argentina,SOUTH_AMERICA,2001,3000,25000,170000,1662
Grapefruit,CITRUS,Argentina,SOUTH_AMERICA,2002,1000,30000,185000,1706
Grapefruit,CITRUS,Argentina,SOUTH_AMERICA,2003,0,30000,160000,1534
Grapefruit,CITRUS,Argentina,SOUTH_AMERICA,2004,0,34000,170000,1476
Grapefruit,CITRUS,Argentina,SOUTH_AMERICA,2005,0,20000,230000,2181
Grapefruit,CITRUS,Argentina,SOUTH_AMERICA,2006,1000,29000,240000,2095
Grapefruit,CITRUS,Argentina,SOUTH_AMERICA,2007,2000,33000,240000,2095
Grapefruit,CITRUS,Argentina,SOUTH_AMERICA,2008,2000,17000,237000,1740
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2000,1000,137000,288000,3228
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2001,2000,169000,384000,2826
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2002,3000,186000,256000,2864
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2003,2000,217000,264000,2939
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2004,2000,223000,287000,3000
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2005,0,144000,336000,2903
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2006,1000,215000,387000,2989
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2007,4000,196000,340000,2989
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2008,0,210000,370000,3099
Grapefruit,CITRUS,South Africa,SUB_SAHARAN,2009,0,187000,343000,3388
Grapefruit,CITRUS,United States,UNITED_STATES,2000,19000,387000,2233000,4020
Grapefruit,CITRUS,United States,UNITED_STATES,2001,27000,397000,2199000,3801
Grapefruit,CITRUS,United States,UNITED_STATES,2002,17000,353000,1872000,3957
Grapefruit,CITRUS,United States,UNITED_STATES,2003,19000,396000,1964000,3598
Grapefruit,CITRUS,United States,UNITED_STATES,2004,14000,228000,924000,4227
Grapefruit,CITRUS,United States,UNITED_STATES,2005,17000,252000,1118000,2215
Grapefruit,CITRUS,United States,UNITED_STATES,2006,22000,332000,1476000,4232
Grapefruit,CITRUS,United States,UNITED_STATES,2007,14000,270000,1404000,4232
Grapefruit,CITRUS,United States,UNITED_STATES,2008,12000,247000,1183000,4160
Grapefruit,CITRUS,United States,UNITED_STATES,2009,12000,242000,1123000,3635
Lemons,CITRUS,Canada,ARCTIC_AMERICA,2001,52000,0,0,0
Lemons,CITRUS,Canada,ARCTIC_AMERICA,2002,52000,0,0,0
Lemons,CITRUS,Canada,ARCTIC_AMERICA,2003,54000,0,0,0
Lemons,CITRUS,Canada,ARCTIC_AMERICA,2004,55000,0,0,0
Lemons,CITRUS,Canada,ARCTIC_AMERICA,2005,56000,0,0,0
Lemons,CITRUS,Canada,ARCTIC_AMERICA,2006,58000,0,0,0
Lemons,CITRUS,Canada,ARCTIC_AMERICA,2007,58000,3000,0,0
Lemons,CITRUS,Canada,ARCTIC_AMERICA,2008,58000,0,0,0
Lemons,CITRUS,Canada,ARCTIC_AMERICA,2009,65000,0,0,0
Lemons,CITRUS,Hong Kong,EAST_ASIA,2001,24000,5000,0,0
Lemons,CITRUS,Hong Kong,EAST_ASIA,2002,26000,5000,0,0
Lemons,CITRUS,Hong Kong,EAST_ASIA,2003,27000,6000,0,0
Lemons,CITRUS,Hong Kong,EAST_ASIA,2004,23000,4000,0,0
Lemons,CITRUS,Hong Kong,EAST_ASIA,2005,28000,4000,0,0
Lemons,CITRUS,Hong Kong,EAST_ASIA,2006,25000,5000,0,0
Lemons,CITRUS,Hong Kong,EAST_ASIA,2007,19000,4000,0,0
Lemons,CITRUS,Hong Kong,EAST_ASIA,2008,27000,8000,0,0
Lemons,CITRUS,Hong Kong,EAST_ASIA,2009,21000,6000,0,0
Lemons,CITRUS,Japan,EAST_ASIA,2000,84000,0,2000,
Lemons,CITRUS,Japan,EAST_ASIA,2001,89000,0,2000,
Lemons,CITRUS,Japan,EAST_ASIA,2002,89000,0,2000,
Lemons,CITRUS,Japan,EAST_ASIA,2003,85000,0,4000,1410
Lemons,CITRUS,Japan,EAST_ASIA,2004,74000,0,4000,1440
Lemons,CITRUS,Japan,EAST_ASIA,2005,72000,0,4000,1311
Lemons,CITRUS,Japan,EAST_ASIA,2006,68000,0,5000,1381
Lemons,CITRUS,Japan,EAST_ASIA,2007,62000,0,5000,1381
Lemons,CITRUS,Japan,EAST_ASIA,2008,52000,0,6000,1336
Lemons,CITRUS,Japan,EAST_ASIA,2009,53000,0,7000,1422
Lemons,CITRUS,EU-27,EUROPE,2001,311000,114000,1620000,0
Lemons,CITRUS,EU-27,EUROPE,2002,356000,107000,1827000,0
Lemons,CITRUS,EU-27,EUROPE,2003,317000,136000,1497000,0
Lemons,CITRUS,EU-27,EUROPE,2004,499000,46000,1665000,0
Lemons,CITRUS,EU-27,EUROPE,2005,397000,92000,1568000,0
Lemons,CITRUS,EU-27,EUROPE,2006,418000,92000,1497000,0
Lemons,CITRUS,EU-27,EUROPE,2007,515000,59000,1139000,0
Lemons,CITRUS,EU-27,EUROPE,2008,405000,87000,1263000,0
Lemons,CITRUS,EU-27,EUROPE,2009,471000,67000,1160000,0
Lemons,CITRUS,Greece,EUROPE,2000,11000,30000,130000,953
Lemons,CITRUS,Italy,EUROPE,2000,41000,33000,610000,1770
Lemons,CITRUS,Spain,EUROPE,2000,39000,531000,960000,1996
Lemons,CITRUS,Ukraine,EUROPE,2001,33000,0,0,0
Lemons,CITRUS,Ukraine,EUROPE,2002,35000,0,0,0
Lemons,CITRUS,Ukraine,EUROPE,2003,37000,0,0,0
Lemons,CITRUS,Ukraine,EUROPE,2004,50000,0,0,0
Lemons,CITRUS,Ukraine,EUROPE,2005,59000,0,0,0
Lemons,CITRUS,Ukraine,EUROPE,2006,60000,0,0,0
Lemons,CITRUS,Ukraine,EUROPE,2007,55000,0,0,0
Lemons,CITRUS,Ukraine,EUROPE,2008,58000,0,0,0
Lemons,CITRUS,Ukraine,EUROPE,2009,62000,0,0,0
Lemons,CITRUS,Mexico,MIDDLE_AMERICA,2001,1000,209000,1725000,1262
Lemons,CITRUS,Mexico,MIDDLE_AMERICA,2002,2000,330000,1762000,1357
Lemons,CITRUS,Mexico,MIDDLE_AMERICA,2003,1000,371000,1928000,1337
Lemons,CITRUS,Mexico,MIDDLE_AMERICA,2004,1000,390000,1807000,1368
Lemons,CITRUS,Mexico,MIDDLE_AMERICA,2005,1000,412000,1867000,1319
Lemons,CITRUS,Mexico,MIDDLE_AMERICA,2006,1000,436000,1922000,1329
Lemons,CITRUS,Mexico,MIDDLE_AMERICA,2007,1000,508000,2229000,1329
Lemons,CITRUS,Mexico,MIDDLE_AMERICA,2008,1000,445000,1966000,1498
Lemons,CITRUS,Mexico,MIDDLE_AMERICA,2009,1000,456000,1891000,1402
Lemons,CITRUS,Cyprus,MIDDLE_EAST,2000,0,16000,26000,1990
Lemons,CITRUS,Israel,MIDDLE_EAST,2000,0,0,16000,2917
Lemons,CITRUS,Israel,MIDDLE_EAST,2001,0,0,19000,3221
Lemons,CITRUS,Israel,MIDDLE_EAST,2002,0,2000,20000,2799
Lemons,CITRUS,Israel,MIDDLE_EAST,2003,0,1000,45000,2570
Lemons,CITRUS,Israel,MIDDLE_EAST,2004,0,4000,42000,2973
Lemons,CITRUS,Israel,MIDDLE_EAST,2005,0,2000,29000,2911
Lemons,CITRUS,Israel,MIDDLE_EAST,2006,0,2000,49000,2054
Lemons,CITRUS,Israel,MIDDLE_EAST,2007,0,4000,35000,2054
Lemons,CITRUS,Israel,MIDDLE_EAST,2008,5000,2000,29000,2081
Lemons,CITRUS,Israel,MIDDLE_EAST,2009,0,2000,48000,2184
Lemons,CITRUS,Morocco,MIDDLE_EAST,2000,0,0,20000,1400
Lemons,CITRUS,Morocco,MIDDLE_EAST,2001,0,0,20000,600
Lemons,CITRUS,Morocco,MIDDLE_EAST,2002,0,0,20000,1140
Lemons,CITRUS,Morocco,MIDDLE_EAST,2003,0,0,15000,1230
Lemons,CITRUS,Morocco,MIDDLE_EAST,2004,0,0,25000,890
Lemons,CITRUS,Morocco,MIDDLE_EAST,2005,0,0,25000,1615
Lemons,CITRUS,Morocco,MIDDLE_EAST,2006,0,0,15000,1692
Lemons,CITRUS,Morocco,MIDDLE_EAST,2007,0,0,15000,1692
Lemons,CITRUS,Morocco,MIDDLE_EAST,2008,0,0,45000,1738
Lemons,CITRUS,Morocco,MIDDLE_EAST,2009,0,6000,46000,1600
Lemons,CITRUS,Saudi Arabia,MIDDLE_EAST,2001,45000,0,0,0
Lemons,CITRUS,Saudi Arabia,MIDDLE_EAST,2002,63000,0,0,0
Lemons,CITRUS,Saudi Arabia,MIDDLE_EAST,2003,56000,0,0,0
Lemons,CITRUS,Saudi Arabia,MIDDLE_EAST,2004,62000,0,0,0
Lemons,CITRUS,Saudi Arabia,MIDDLE_EAST,2005,85000,0,0,0
Lemons,CITRUS,Saudi Arabia,MIDDLE_EAST,2006,79000,0,0,0
Lemons,CITRUS,Saudi Arabia,MIDDLE_EAST,2007,60000,0,0,0
Lemons,CITRUS,Saudi Arabia,MIDDLE_EAST,2008,100000,0,0,0
Lemons,CITRUS,Saudi Arabia,MIDDLE_EAST,2009,103000,0,0,0
Lemons,CITRUS,Turkey,MIDDLE_EAST,2000,0,151000,460000,2586
Lemons,CITRUS,Turkey,MIDDLE_EAST,2001,0,259000,510000,2854
Lemons,CITRUS,Turkey,MIDDLE_EAST,2002,7000,180000,525000,2827
Lemons,CITRUS,Turkey,MIDDLE_EAST,2003,0,160000,550000,2869
Lemons,CITRUS,Turkey,MIDDLE_EAST,2004,2000,346000,600000,3050
Lemons,CITRUS,Turkey,MIDDLE_EAST,2005,1000,311000,600000,3000
Lemons,CITRUS,Turkey,MIDDLE_EAST,2006,4000,328000,710000,3130
Lemons,CITRUS,Turkey,MIDDLE_EAST,2007,4000,220000,652000,3130
Lemons,CITRUS,Turkey,MIDDLE_EAST,2008,5000,351000,672000,3212
Lemons,CITRUS,Turkey,MIDDLE_EAST,2009,1000,434000,783000,3703
Lemons,CITRUS,United Arab Emirates,MIDDLE_EAST,2001,16000,0,0,2170
Lemons,CITRUS,United Arab Emirates,MIDDLE_EAST,2002,21000,0,0,2339
Lemons,CITRUS,United Arab Emirates,MIDDLE_EAST,2003,22000,0,0,1783
Lemons,CITRUS,United Arab Emirates,MIDDLE_EAST,2004,100000,0,0,1765
Lemons,CITRUS,United Arab Emirates,MIDDLE_EAST,2005,38000,0,0,1393
Lemons,CITRUS,United Arab Emirates,MIDDLE_EAST,2006,44000,0,0,1835
Lemons,CITRUS,United Arab Emirates,MIDDLE_EAST,2007,51000,0,0,1835
Lemons,CITRUS,United Arab Emirates,MIDDLE_EAST,2008,44000,0,0,1420
Lemons,CITRUS,United Arab Emirates,MIDDLE_EAST,2009,54000,0,0,1587
Lemons,CITRUS,Russian Federation,RUSSIA,2001,150000,2000,0,0
Lemons,CITRUS,Russian Federation,RUSSIA,2002,141000,3000,0,0
Lemons,CITRUS,Russian Federation,RUSSIA,2003,167000,3000,0,0
Lemons,CITRUS,Russian Federation,RUSSIA,2004,184000,4000,0,0
Lemons,CITRUS,Russian Federation,RUSSIA,2005,206000,4000,0,0
Lemons,CITRUS,Russian Federation,RUSSIA,2006,205000,7000,0,0
Lemons,CITRUS,Russian Federation,RUSSIA,2007,191000,5000,0,0
Lemons,CITRUS,Russian Federation,RUSSIA,2008,203000,5000,0,0
Lemons,CITRUS,Russian Federation,RUSSIA,2009,211000,1000,0,0
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2000,0,245000,1217000,3445
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2001,0,270000,1200000,3044
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2002,0,337000,1200000,3126
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2003,0,316000,1220000,2809
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2004,0,370000,1300000,2978
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2005,0,312000,1430000,2881
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2006,0,360000,1470000,2545
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2007,0,400000,1360000,2545
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2008,5000,250000,1350000,2570
Lemons,CITRUS,Argentina,SOUTH_AMERICA,2009,7000,264000,1000000,2664
Lemons,CITRUS,South Africa,SUB_SAHARAN,2000,0,40000,119000,2206
Lemons,CITRUS,South Africa,SUB_SAHARAN,2001,0,80000,169000,2070
Lemons,CITRUS,South Africa,SUB_SAHARAN,2002,17000,131000,182000,2001
Lemons,CITRUS,South Africa,SUB_SAHARAN,2003,0,115000,183000,2267
Lemons,CITRUS,South Africa,SUB_SAHARAN,2004,0,98000,183000,2515
Lemons,CITRUS,South Africa,SUB_SAHARAN,2005,7000,100000,184000,1998
Lemons,CITRUS,South Africa,SUB_SAHARAN,2006,0,110000,195000,1896
Lemons,CITRUS,South Africa,SUB_SAHARAN,2007,10000,166000,230000,1896
Lemons,CITRUS,South Africa,SUB_SAHARAN,2008,0,130000,214000,1916
Lemons,CITRUS,South Africa,SUB_SAHARAN,2009,0,145000,216000,1857
Lemons,CITRUS,United States,UNITED_STATES,2000,33000,113000,904000,2924
Lemons,CITRUS,United States,UNITED_STATES,2001,38000,102000,727000,3446
Lemons,CITRUS,United States,UNITED_STATES,2002,30000,98000,931000,2782
Lemons,CITRUS,United States,UNITED_STATES,2003,26000,102000,724000,3721
Lemons,CITRUS,United States,UNITED_STATES,2004,38000,97000,789000,2991
Lemons,CITRUS,United States,UNITED_STATES,2005,37000,100000,889000,3333
Lemons,CITRUS,United States,UNITED_STATES,2006,391000,120000,724000,2956
Lemons,CITRUS,United States,UNITED_STATES,2007,424000,157000,562000,2956
Lemons,CITRUS,United States,UNITED_STATES,2008,398000,93000,827000,2351
Lemons,CITRUS,United States,UNITED_STATES,2009,401000,93000,800000,3465
Orange Juice,CITRUS,Canada,ARCTIC_AMERICA,2006,121000,2550,0,0
Orange Juice,CITRUS,Canada,ARCTIC_AMERICA,2007,138000,3800,0,0
Orange Juice,CITRUS,Canada,ARCTIC_AMERICA,2008,111000,3070,0,0
Orange Juice,CITRUS,Canada,ARCTIC_AMERICA,2009,106000,1030,0,0
Orange Juice,CITRUS,China,EAST_ASIA,2000,13443,1845,600,0
Orange Juice,CITRUS,China,EAST_ASIA,2001,35836,2848,1500,0
Orange Juice,CITRUS,China,EAST_ASIA,2002,42525,3054,1500,0
Orange Juice,CITRUS,China,EAST_ASIA,2003,48592,2636,1800,0
Orange Juice,CITRUS,China,EAST_ASIA,2004,45883,2793,2000,0
Orange Juice,CITRUS,China,EAST_ASIA,2005,64653,2168,3000,0
Orange Juice,CITRUS,China,EAST_ASIA,2006,56991,3302,11000,0
Orange Juice,CITRUS,China,EAST_ASIA,2007,50624,3770,18000,0
Orange Juice,CITRUS,China,EAST_ASIA,2008,42786,4682,14000,0
Orange Juice,CITRUS,China,EAST_ASIA,2009,59965,4365,15500,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2000,116245,0,200,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2001,96629,0,200,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2002,96575,0,200,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2003,83989,0,0,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2004,101320,0,0,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2005,90975,0,0,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2006,89741,0,0,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2007,68726,0,0,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2008,75347,0,0,0
Orange Juice,CITRUS,Japan,EAST_ASIA,2009,64198,0,0,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2000,45792,217,1895,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2001,46376,17,3243,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2002,48622,43,7843,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2003,38520,145,9600,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2004,38012,460,8041,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2005,37175,414,10027,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2006,33362,154,8760,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2007,28053,489,11103,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2008,23441,1037,7093,0
Orange Juice,CITRUS,Republic Of Korea,EAST_ASIA,2009,25747,1134,9884,0
Orange Juice,CITRUS,EU-27,EUROPE,2001,892887,33621,111500,0
Orange Juice,CITRUS,EU-27,EUROPE,2002,1037377,33623,88688,0
Orange Juice,CITRUS,EU-27,EUROPE,2003,1039648,30846,112300,0
Orange Juice,CITRUS,EU-27,EUROPE,2004,1022110,32721,102500,0
Orange Juice,CITRUS,EU-27,EUROPE,2005,1017079,38564,112000,0
Orange Juice,CITRUS,EU-27,EUROPE,2006,802448,46613,171168,0
Orange Juice,CITRUS,EU-27,EUROPE,2007,854553,44408,165121,0
Orange Juice,CITRUS,EU-27,EUROPE,2008,963323,40154,98569,0
Orange Juice,CITRUS,EU-27,EUROPE,2009,796166,45499,94084,0
Orange Juice,CITRUS,Greece,EUROPE,2000,8000,8000,15500,0
Orange Juice,CITRUS,Italy,EUROPE,2000,40000,43000,38000,0
Orange Juice,CITRUS,Spain,EUROPE,2000,35000,59000,58000,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2000,770,37900,40500,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2001,710,30710,34000,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2002,200,4000,8000,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2003,617,16035,20100,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2004,900,68200,74100,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2005,1260,53000,56500,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2006,1200,64700,70000,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2007,1000,95500,102000,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2008,1000,98812,105000,0
Orange Juice,CITRUS,Mexico,MIDDLE_AMERICA,2009,635,81635,88000,0
