territory,region,averageAge,undernourish,births,migration,mortality,landArea,organic,conventional,gmo,farmLand,incomeCitrusFruits,productionCitrusFruits,incomeNonCitrusFruits,productionNonCitrusFruits,incomeNuts,productionNuts,incomeGrains,productionGrains,incomeOilCrops,productionOilCrops,incomeVegetables,productionVegetables,incomeSpecialtyCrops,productionSpecialtyCrops,incomeFeedCrops,productionFeedCrops,incomeFish,productionFish,incomeMeatAnimals,productionMeatAnimals,incomePoultryAndEggs,productionPoultryAndEggs,incomeDairy,productionDairy
US-Kentucky,SOUTHEAST,39,112,56,11,33,102269,,,,24343,0,,0,,0,,234788,,0,,0,,167752,,1078,,0,,2107936,,1279416,,256194,
US-Louisiana,SOUTHERN_PLAINS,36,97,63,13,41,111898,,,,31974,0,,0,,10270,,532128,,855317,,38658,,498446,,542235,,0,,355918,,647603,,52400,
US-Maine,NORTHERN_CRESCENT,44,23,12,0,12,79883,,,,1266,0,,78956,,0,,0,,0,,145979,,185292,,17888,,0,,120603,,159728,,159728,
US-Maryland,NORTHERN_CRESCENT,38,84,72,-11,44,25142,,,,6491,15147,,10741,,0,,99185,,0,,11417,,266332,,317998,,0,,146582,,1087575,,243040,
US-Massachusetts,NORTHERN_CRESCENT,39,107,72,-6,47,20202,,,,351,2662,,95355,,0,,0,,0,,10995,,181961,,8797,,782,,56223,,25906,,60291,
US-Michigan,NORTHERN_CRESCENT,40,411,113,-47,66,146435,,,,25153,0,,476830,,0,,214024,,991455,,560496,,980420,,1421716,,619,,1067184,,498046,,2309503,
US-Minnesota,NORTHERN_PLAINS,38,96,69,-2,41,206232,,,,83383,0,,19357,,0,,413523,,3363829,,410557,,850645,,4945566,,0,,5094371,,1311421,,2237456,
US-Mississippi,SOUTHEAST,37,103,39,0,19,121531,,,,20197,0,,8581,,1369,,0,,0,,0,,95539,,651196,,189540,,427729,,3113490,,49848,
US-Missouri,HEARTLAND,39,141,75,11,57,178040,,,,59637,0,,21151,,883,,404749,,2600934,,42366,,244550,,2093244,,6090,,3282118,,158075,,335052,
US-Montana,MOUNTAIN,40,20,12,2,8,376962,,,,197761,0,,3991,,0,,1256643,,59193,,188823,,123734,,659362,,0,,2077353,,23390,,65120,
US-Nebraska,NORTHERN_PLAINS,36,27,26,-1,14,198974,,,,146747,0,,0,,0,,372254,,2970324,,205589,,260797,,6377527,,694,,13885411,,273613,,297000,
US-Nevada,MOUNTAIN,37,53,35,-6,19,284332,,,,87375,0,,0,,0,,7408,,0,,25656,,51654,,179406,,1008,,394035,,15961,,169632,
US-NewHampshire,NORTHERN_CRESCENT,43,27,12,-6,10,23187,,,,289,0,,10157,,0,,0,,0,,0,,85741,,5571,,890,,25903,,44016,,72520,
US-NewJersey,NORTHERN_CRESCENT,39,126,103,-76,60,19047,,,,1233,27891,,0,,0,,8095,,0,,50993,,470353,,58907,,757,,62678,,37043,,31125,
US-NewMexico,MOUNTAIN,37,60,26,1,14,314161,,,,140347,0,,0,,140700,,21535,,3896,,133784,,162424,,206938,,988,,1093345,,22423,,1798049,
US-NewYork,NORTHERN_CRESCENT,38,465,237,-96,142,122057,,,,12216,12640,,255725,,0,,42479,,0,,175133,,611100,,557412,,631,,564182,,206447,,3477514,
US-NorthCarolina,SOUTHEAST,38,244,119,40,62,125920,,,,19703,0,,151894,,0,,230150,,0,,109144,,701196,,561254,,11873,,3493925,,5096113,,245435,
US-NorthDakota,NORTHERN_PLAINS,35,11,11,6,5,178711,,,,135425,0,,0,,0,,1783757,,2352406,,519229,,265963,,1635410,,0,,1406253,,18019,,75048,
US-Ohio,NORTHERN_CRESCENT,39,235,139,-14,82,105829,,,,39186,370,,22939,,0,,226625,,0,,76180,,496869,,2489858,,0,,1559514,,1172965,,1329138,
US-Oklahoma,SOUTHERN_PLAINS,36,73,53,28,30,177660,,,,177663,0,,3328,,13904,,385481,,144639,,0,,222007,,483797,,0,,5025447,,968286,,178719,
US-Oregon,MOUNTAIN,39,45,45,18,35,248608,,,,59716,0,,573180,,129600,,323992,,8633,,355103,,1483511,,431653,,2413,,978040,,193378,,650981,
US-Pennsylvania,NORTHERN_CRESCENT,41,214,141,19,91,115883,,,,10837,0,,86294,,0,,66229,,0,,69806,,1145238,,794608,,5571,,1474170,,1480602,,2728569,
US-RhodeIsland,NORTHERN_CRESCENT,40,20,11,-4,8,2678,,,,48,0,,1258,,0,,0,,0,,1734,,43179,,760,,0,,9385,,11990,,4462,
US-SouthCarolina,SOUTHEAST,39,96,57,36,33,77857,,,,7983,0,,95935,,496,,69102,,0,,30735,,232944,,192982,,0,,304164,,1217363,,70707,
US-SouthDakota,NORTHERN_PLAINS,37,17,12,-2,7,196350,,,,157228,0,,0,,0,,628447,,2401688,,7887,,58040,,3031188,,0,,3768387,,201881,,519441,
US-Tennessee,SOUTHEAST,39,160,80,17,43,106798,,,,16827,0,,1849,,0,,221698,,0,,74882,,357686,,212698,,749,,966656,,685371,,685371,
US-Texas,SOUTHERN_PLAINS,34,660,387,110,222,676587,,,,676594,71855,,94606,,107800,,582998,,210394,,340012,,1791449,,2330143,,0,,11263571,,285092,,259372,
US-Utah,MOUNTAIN,31,40,51,12,21,212818,,,,72768,0,,34492,,0,,42005,,4194,,6634,,154632,,290154,,604,,1040317,,177794,,514053,
US-Vermont,NORTHERN_CRESCENT,43,9,6,2,4,23871,,,,2139,0,,11470,,0,,0,,0,,0,,0,,12895,,0,,98674,,37989,,676005,
US-Virginia,SOUTHEAST,38,130,102,28,57,102279,,,,10017,0,,42568,,0,,107538,,0,,34099,,298644,,340389,,1481,,987655,,1360698,,478440,
US-Washington,MOUNTAIN,38,120,87,18,49,172119,,,,32472,0,,3162378,,0,,757220,,28094,,1172983,,1115704,,632991,,9797,,953114,,328996,,1622049,
US-WestVirginia,SOUTHEAST,42,44,12,4,4,62259,,,,2207,0,,17783,,0,,2531,,0,,0,,52442,,63107,,39424,,294027,,354883,,33672,
US-Wisconsin,NORTHERN_CRESCENT,39,95,67,4,17,140268,,,,454,0,,42280,,0,,91990,,0,,481762,,357484,,1639849,,1537,,2254399,,334514,,6745095,
US-Wyoming,MOUNTAIN,37,7,8,-1,41,251470,,,,92397,0,,0,,0,,24584,,0,,28232,,80903,,258898,,1604,,1292097,,22944,,29952,
Afghanistan,SOUTH_ASIA,16,,35,-3,8,652860,0.00000759,0.99999241,0,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,EUROPE,32,,12,-6,7,27400,0.00833333,0.99166667,0,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,MIDDLE_EAST,26,,25,-1,6,2381740,0.00008194,0.99991806,0,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,EUROPE,42,,8,-7,3,470,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,SUB_SAHARAN,16,,46,1,14,1246700,0.000501,0.999499,0,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,MIDDLE_AMERICA,30,,14,5,5,440,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,SOUTH_AMERICA,30,,19,0,7,2736690,0.09721369,0.280475308,0.622311002,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,RUSSIA,32,,14,-8,9,28470,0.00149224,0.99850776,0,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,OCEANIA,37,,13,10,6,7682300,0.23295478,0.756645453,0.010399767,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,EUROPE,42,,9,6,9,82409,0.37997199,0.62002801,0,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,RUSSIA,29,,18,0,6,82658,0.0103933,0.9896067,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,MIDDLE_AMERICA,31,,16,2,5,10010,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,MIDDLE_EAST,30,,15,20,2,760,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,SOUTH_ASIA,24,,20,-3,6,130170,0.00079855,0.993338411,0.005863039,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,MIDDLE_AMERICA,36,,12,1,8,430,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,EUROPE,39,,13,1,13,202910,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,EUROPE,41,,11,4,10,30280,0.06989374,0.93010626,0,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,MIDDLE_AMERICA,22,,23,6,4,22810,0.01121495,0.98878505,0,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,SUB_SAHARAN,18,,37,0,10,112760,0.00057047,0.99942953,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,SOUTH_ASIA,24,,22,0,6,38117,0.05442478,0.94557522,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,SOUTH_AMERICA,22,,26,0,7,1083300,0.00786058,0.751754805,0.240384615,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,EUROPE,39,,8,0,9,51000,0.00030714,0.99969286,0,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,SUB_SAHARAN,22,,24,2,17,566730,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,SOUTH_AMERICA,29,,15,0,6,8358140,0.00865584,0.45967722,0.53166694,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,SOUTHEAST_ASIA,29,,16,1,3,5270,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,EUROPE,42,,9,0,14,108560,0.00733724,0.99266276,0,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,SUB_SAHARAN,17,,43,-2,11,273600,0.00341421,0.909930677,0.086655113,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,SUB_SAHARAN,18,,45,0,13,25680,0.00039286,0.99960714,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,SUB_SAHARAN,24,,22,-7,5,4030,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,SOUTHEAST_ASIA,23,,24,-2,6,176520,0.00199278,0.99800722,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,SUB_SAHARAN,18,,39,-1,12,472710,0.00010323,0.99989677,0,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,ARCTIC_AMERICA,40,,11,8,7,9093510,0.01756379,0.740234682,0.242201528,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,SUB_SAHARAN,19,,47,0,15,622980,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,SUB_SAHARAN,16,,48,-2,15,1259200,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,SOUTH_AMERICA,32,,14,0,6,743532,0.0165673,0.954769549,0.028663151,,,,,,,,,,,,,,,,,,,,,,,,,
China,EAST_ASIA,35,,12,0,7,9424700.9,0.0155469,0.95262481,0.03182829,1360074197,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,SOUTH_AMERICA,27,,19,-2,6,1109500,0.01202699,0.958638894,0.029334116,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,SUB_SAHARAN,19,,34,-3,9,1861,0.01830986,0.98169014,0,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,SUB_SAHARAN,19,,38,-2,10,341500,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,MIDDLE_AMERICA,28,,15,2,4,51060,0.01627119,0.898983047,0.084745763,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,SUB_SAHARAN,19,,37,1,14,318000,0.0027973,0.9972027,0,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,EUROPE,42,,10,-1,13,55960,0.03266306,0.96733694,0,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,MIDDLE_AMERICA,38,,11,-4,8,106440,0.00055611,0.986862108,0.012581782,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,MIDDLE_EAST,34,,13,-2,7,9240,0.02965116,0.97034884,0,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,EUROPE,40,,10,0,10,77240,0.14907407,0.835493831,0.015432099,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,EAST_ASIA,33,,15,0,9,120410,0,1,0,6486363,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,SUB_SAHARAN,17,,46,0,16,2267050,0.00526316,0.99473684,0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,EUROPE,41,,10,5,9,42430,0.06480224,0.93519776,0,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,SUB_SAHARAN,22,,28,-4,9,23180,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,MIDDLE_AMERICA,32,,13,-6,8,750,0.01,0.99,0,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,MIDDLE_AMERICA,25,,21,-3,6,48320,0.14496124,0.85503876,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,SOUTH_AMERICA,25,,23,0,5,248360,0.02059009,0.97940991,0,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,MIDDLE_EAST,24,,32,-1,6,995450,0.02265193,0.97734807,0,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,MIDDLE_AMERICA,23,,20,-7,7,20720,0.00738749,0.99261251,0,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,SUB_SAHARAN,20,,36,5,13,28050,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,SUB_SAHARAN,18,,33,2,7,101000,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EUROPE,40,,11,-5,12,42390,0.21003135,0.78996865,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,SUB_SAHARAN,17,,28,0,8,1000000,0.00858795,0.99141205,0,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,OCEANIA,26,,21,-6,8,18270,0.008,0.992,0,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,EUROPE,42,,11,3,9,303890,0.08338508,0.91661492,0,,,,,,,,,,,,,,,,,,,,,,,,,
France,EUROPE,40,,12,1,9,547557,0.05056786,0.94943214,0,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,SUB_SAHARAN,21,,32,1,9,257670,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,SUB_SAHARAN,17,,41,-2,10,10120,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,RUSSIA,37,,13,-1,11,69490,0.00379219,0.99620781,0,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,EUROPE,44,,8,5,11,348560,0.08410766,0.91589234,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,SUB_SAHARAN,20,,34,-1,9,227540,0.00268194,0.99731806,0,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,EUROPE,42,,9,-4,11,128900,0.05565194,0.94434806,0,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,MIDDLE_AMERICA,25,,16,-2,7,340,0.009,0.991,0,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,MIDDLE_AMERICA,19,,31,-1,5,107160,0.00542139,0.99457861,0,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,SUB_SAHARAN,18,,38,0,12,245720,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,SUB_SAHARAN,19,,38,-1,13,28120,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,SOUTH_AMERICA,22,,20,-15,7,196850,0.009375,0.990625,0,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,MIDDLE_AMERICA,21,,28,-3,9,27560,0.0006791,0.9993209,0,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,MIDDLE_AMERICA,21,,24,-1,5,111890,0.01619048,0.949795915,0.034013605,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,EUROPE,40,,9,1,13,90530,0.02717344,0.97282656,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,EUROPE,35,,13,5,7,100250,0.06710311,0.93289689,0,,,,,,,,,,,,,,,,,,,,,,,,,
India,SOUTH_ASIA,25,,22,0,7,2973190,0.00640181,0.925110701,0.068487489,445222862,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,SOUTHEAST_ASIA,27,,20,-1,6,1811570,0.00162637,0.99837363,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,MIDDLE_EAST,27,,19,0,5,1628550,0.00222817,0.99777183,0,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,MIDDLE_EAST,19,,31,1,5,434320,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,EUROPE,34,,15,-7,7,68890,0.05079962,0.94920038,0,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,MIDDLE_EAST,30,,21,3,5,21640,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,EUROPE,43,,9,3,10,294140,0.11871523,0.88128477,0,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,MIDDLE_AMERICA,27,,18,-5,7,10830,0.00245455,0.99754545,0,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,EAST_ASIA,45,,8,1,10,364555,0.00206095,0.99793905,0,11170354,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,MIDDLE_EAST,22,,28,-8,4,88780,0.00997698,0.99002302,0,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,CENTRAL_ASIA,29,,23,0,8,2699700,0.0081377,0.9918623,0,536356760,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,SUB_SAHARAN,19,,34,0,9,569140,0.00081077,0.99918923,0,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,OCEANIA,23,,30,-1,9,810,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,MIDDLE_EAST,28,,18,35,2,17820,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,CENTRAL_ASIA,24,,28,-1,7,191800,0.01118022,0.98881978,0,,,,,,,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,SOUTHEAST_ASIA,20,,26,-2,6,230800,0.00375196,0.99624804,0,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,EUROPE,41,,10,-12,14,62200,0.15802575,0.84197425,0,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,MIDDLE_EAST,29,,13,20,4,10230,0.01330645,0.98669355,0,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,SUB_SAHARAN,20,,30,-6,21,30360,0.00057692,0.99942308,0,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,SUB_SAHARAN,18,,35,-1,9,96320,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,MIDDLE_EAST,26,,21,-7,4,1759540,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,EUROPE,42,,10,4,6,160,0.36333333,0.63666667,0,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,EUROPE,39,,10,-6,14,62674,0.06870883,0.93129117,0,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,EUROPE,39,,11,19,7,2590,0.05374823,0.94625177,0,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,SUB_SAHARAN,18,,34,0,7,581795,0.00736585,0.99263415,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,SUB_SAHARAN,17,,40,0,12,94280,0.00004552,0.99995448,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,SOUTHEAST_ASIA,26,,17,3,5,328550,0.00021792,0.99978208,0,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,SOUTH_ASIA,24,,23,0,3,300,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,SUB_SAHARAN,17,,42,-2,13,1220190,0.00210954,0.99789046,0,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,EUROPE,40,,10,7,8,320,0.00290416,0.99709584,0,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,OCEANIA,23,,30,-17,4,180,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,SUB_SAHARAN,20,,34,-1,9,1030700,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,SUB_SAHARAN,33,,11,0,8,2030,0.00036585,0.99963415,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MIDDLE_AMERICA,26,,19,-2,6,1943950,0.01429963,0.97790553,0.00779484,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,OCEANIA,26,,24,-19,5,3170,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,EUROPE,51,,6,23,7,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,EAST_ASIA,26,,28,0,6,1553560,0,1,0,279857964,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,EUROPE,36,,12,-3,10,13450,0.01624339,0.98375661,0,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MIDDLE_EAST,26,,22,-3,6,446300,0.00186735,0.99813265,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,SUB_SAHARAN,17,,43,0,13,786380,0.0007563,0.9992437,0,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,SOUTHEAST_ASIA,28,,17,-1,9,653290,0.00001633,0.975493874,0.024489796,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,SUB_SAHARAN,20,,30,0,7,823290,0.01742892,0.98257108,0,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,OCEANIA,25,,36,-9,8,20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,SOUTH_ASIA,21,,22,-3,7,143350,0.00424227,0.99575773,0,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,EUROPE,41,,10,1,8,33720,0.04556792,0.95443208,0,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,OCEANIA,37,,13,5,7,263310,0.24575646,0.75424354,0,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,MIDDLE_AMERICA,22,,23,-6,5,120340,0.01867704,0.98132296,0,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,SUB_SAHARAN,15,,50,0,11,1266700,0.0000051,0.9999949,0,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,SUB_SAHARAN,18,,39,0,13,910770,0.00023268,0.99976732,0,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,EUROPE,39,,12,8,8,365268,0.06850681,0.93149319,0,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,MIDDLE_EAST,25,,20,39,2,309500,0.00052632,0.99947368,0,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,SOUTH_ASIA,22,,28,-3,8,770880,0.0011267,0.867651581,0.131221719,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,OCEANIA,33,,14,0,9,460,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,MIDDLE_AMERICA,27,,20,2,5,74340,0.01371742,0.98628258,0,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,OCEANIA,20,,33,0,10,452860,0.0113,0.9887,0,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,SOUTH_AMERICA,23,,23,-1,6,397300,0.01166287,0.099954442,0.888382688,,,,,,,,,,,,,,,,,,,,,,,,,
