Country,Region,Average age of population (years),"Undernourished (per 1,000 people)","Birth Rate (live births per 1,000 of people per year)","Net Migration Rate (immigration - emigration per 1,000 people)","Mortality rate (units of deaths per 1,000 individuals per year)",land Area in square kilometers,organic,conventional,gmo,Land Used for Farming (Square Kilometers),"Total Net Income
Citrus Fruits
(1000 $)","Total Net Income
Non-Citrus Fruits
(1000 $)","Total Net Income
Nuts
(1000 $)","Total Net Income
Grains
(1000 $)","Total Net Income
Oil Crops
(1000 $)","Total Net Income
Vegetables
(1000 $)","Total Net Income
Specialty Crops
(1000 $)","Total Net Income 
Feed Crops 
(1000 $)","Total Net Income
Fish
(1000 $)","Total Net Income
Meat Animales
(1000 $)","Total Net Income
Poultry and Eggs
(1000 $)","Total Net Income
Dairy
(1000 $)"
Panama,Middle America,27,13,20,2,5,74340,0.01371742,0.98628258,0,,,,,,,,,,,,,
Papua New Guinea,Oceania,20,0,33,0,10,452860,0.0113,0.9887,0,,,,,,,,,,,,,
Paraguay,South America,23,9,23,-1,6,397300,0.01166287,0.099954442,0.888382688,,,,,,,,,,,,,
Peru,South America,26,11,20,-3,5,1280000,0.03450835,0.96549165,0,,,,,,,,,,,,,
Philippines,Southeast Asia,22,13,24,-1,6,298170,0.00897484,0.916467844,0.074557316,30724315,,,,,,,,,,,,
Poland,Europe,38,5,10,0,10,306230,0.05266365,0.94733635,0,,,,,,,,,,,,,
Portugal,Europe,41,5,8,-4,10,91590,0.11945676,0.852827054,0.027716186,,,,,,,,,,,,,
Qatar,Middle East,32,5,11,2,1,11610,0,1,0,,,,,,,,,,,,,
Republic of Korea,East Asia,38,5,9,0,5,97230,0.01136631,0.98863369,0,4348716,,,,,,,,,,,,
Republic of Macedonia,Europe,37,0,11,1,9,25220,0.01469933,0.98530067,0,,,,,,,,,,,,,
Republic of Moldova,Europe,35,5,11,0,11,32850,0.01042654,0.98957346,0,,,,,,,,,,,,,
Romania,Europe,38,5,10,0,12,230170,0.02436699,0.970335839,0.005297171,,,,,,,,,,,,,
Russian Federation,Russia and Caucasus,38,5,13,2,13,16376870,0.00104233,0.99895767,0,,,,,,,,,,,,,
Rwanda,Sub-Saharan Africa,18,35,31,-1,8,24670,0.00262411,0.99737589,0,,,,,,,,,,,,,
Saint Kitts and Nevis,Middle America,34,0,13,7,7,260,0,1,0,,,,,,,,,,,,,
Saint Lucia,Middle America,29,0,13,0,8,610,0,1,0,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Middle America,28,0,17,-9,8,390,0,1,0,,,,,,,,,,,,,
Samoa,Oceania,21,5,29,-24,5,2830,0.95714286,0.04285714,0,,,,,,,,,,,,,
San Marino,Europe,44,5,10,5,7,60,0,1,0,,,,,,,,,,,,,
Sao Tome and Principe,Sub-Saharan Africa,19,5,36,-2,7,960,0.09371069,0.90628931,0,,,,,,,,,,,,,
Saudi Arabia,Middle East,26,5,22,2,4,2149690,0.00546045,0.99453955,0,,,,,,,,,,,,,
Senegal,Sub-Saharan Africa,18,14,40,-1,8,192530,0.00380673,0.99619327,0,,,,,,,,,,,,,
Serbia,Europe,38,5,9,0,14,87460,0.00173574,0.99826426,0,,,,,,,,,,,,,
Seychelles,Sub-Saharan Africa,32,5,19,2,7,460,0,1,0,,,,,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,19,5,38,-1,17,72180,0,1,0,,,,,,,,,,,,,
Singapore,Southeast Asia,37,5,9,12,5,700,0,1,0,1557,,,,,,,,,,,,
Slovakia,Europe,37,5,10,0,10,48088,0.12107687,0.843499821,0.035423309,,,,,,,,,,,,,
Slovenia,Europe,42,5,10,0,9,20140,0.16419437,0.83580563,0,,,,,,,,,,,,,
Solomon Islands,Oceania,19,5,31,0,5,27990,0.01313131,0.98686869,0,,,,,,,,,,,,,
Somalia,Sub-Saharan Africa,16,5,44,-3,12,627340,0,1,0,,,,,,,,,,,,,
South Africa,Sub-Saharan Africa,25,5,20,3,11,1213090,0.00336654,0.779696291,0.216937169,,,,,,,,,,,,,
South Sudan,Sub-Saharan Africa,18,5,36,16,12,619745,0,1,0,,,,,,,,,,,,,
Spain,Europe,40,5,9,-4,8,498800,0.09563324,0.898481638,0.005885122,,,,,,,,,,,,,
Sri Lanka,South Asia,31,5,18,-3,6,62710,0.00850218,0.99149782,0,,,,,,,,,,,,,
Sudan,Middle East,19,5,34,-4,8,1886068,0,0.994194485,0.005805515,,,,,,,,,,,,,
Suriname,South America,28,8,20,-2,7,156000,0,1,0,,,,,,,,,,,,,
Swaziland,Sub-Saharan Africa,19,24,30,-1,14,17200,0.00005263,0.99994737,0,,,,,,,,,,,,,
Sweden,Europe,41,5,12,2,9,410340,0.18350515,0.81649485,0,,,,,,,,,,,,,
Switzerland,Europe,42,5,10,6,8,39516,0.27009346,0.72990654,0,,,,,,,,,,,,,
Syrian Arab Republic,Middle East,22,5,24,-11,4,183630,0.00349895,0.99650105,0,,,,,,,,,,,,,
Tajikistan,Central Asia,21,37,34,-5,7,139960,0.00046939,0.99953061,0,,,,,,,,,,,,,
Thailand,Southeast Asia,35,9,12,0,8,510890,0.00171767,0.99828233,0,,,,,,,,,,,,,
Timor-Leste,Southeast Asia,16,31,37,0,10,14870,0.11098655,0.88901345,0,,,,,,,,,,,,,
Togo,Sub-Saharan Africa,19,19,37,0,11,54390,0.0004878,0.9995122,0,,,,,,,,,,,,,
Tonga,Oceania,21,0,27,-19,7,720,0.00925926,0.99074074,0,,,,,,,,,,,,,
Trinidad and Tobago,Middle America,32,0,13,-3,10,5130,0,1,0,,,,,,,,,,,,,
Tunisia,Middle East,29,5,19,-3,6,155360,0.03411045,0.96588955,0,,,,,,,,,,,,,
Turkey,Middle East,28,5,16,0,5,769630,0.02602624,0.97397376,0,,,,,,,,,,,,,
Turkmenistan,Central Asia,25,5,22,-1,8,469930,0,1,0,,,,,,,,,,,,,
Tuvalu,Oceania,25,5,25,0,9,30,0,1,0,,,,,,,,,,,,,
Uganda,Sub-Saharan Africa,16,25,43,-1,9,199810,0.0250989,0.9749011,0,,,,,,,,,,,,,
Ukraine,Europe,39,5,11,1,15,579320,0.00809462,0.99190538,0,,,,,,,,,,,,,
United Arab Emirates,Middle East,28,5,15,22,1,83600,0.01084746,0.98915254,0,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Europe,40,5,12,3,9,241930,0.10427378,0.89572622,0,,,,,,,,,,,,,
United Republic of Tanzania,Sub-Saharan Africa,17,5,40,-1,9,885800,0.00782313,0.99217687,0,,,,,,,,,,,,,
United States of America,United States of America,37,5,13,3,8,9158022,0.01245147,0.520538538,0.467009992,,,,,,,,,,,,,
Uruguay,South America,34,5,14,-2,9,175020,0.07728279,0.03727172,0.88544549,,,,,,,,,,,,,
Uzbekistan,Central Asia,24,8,22,-1,5,425400,0.00004536,0.99995464,0,,,,,,,,,,,,,
Vanuatu,Oceania,21,6,29,0,5,12190,0.01517241,0.98482759,0,,,,,,,,,,,,,
Venezuela,South America,26,0,20,0,5,882050,0.00001765,0.99998235,0,,,,,,,,,,,,,
Vietnam,Southeast Asia,29,0,17,0,7,310070,0.00230512,0.99769488,0,26893608,,,,,,,,,,,,
Yemen,Middle East,18,26,36,-1,8,527970,0,1,0,,,,,,,,,,,,,
Zambia,Sub-Saharan Africa,16,50,45,-1,11,743390,0.00201045,0.99798955,0,,,,,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,19,33,33,6,9,386850,0.0001093,0.9998907,0,,,,,,,,,,,,,
